172.64.153.235:443#HK 38.76MB/s
104.21.85.25:443#US 36.95MB/s
172.81.111.251:37598#HK 34.44MB/s
104.18.34.21:443#HK 34.21MB/s
45.192.205.175:80#HK 31.67MB/s
216.236.1.34:1891#JP 31.29MB/s
151.242.125.151:80#HK 31.13MB/s
172.64.146.157:443#HK 30.54MB/s
154.203.0.235:443#SG 29.69MB/s
45.89.235.74:25654#JP 29.65MB/s
216.38.170.177:443#SG 29.57MB/s
45.192.204.105:443#HK 28.64MB/s
198.176.52.199:10123#JP 27.53MB/s
198.176.52.248:10123#JP 27.16MB/s
37.123.192.109:22429#US 26.96MB/s
172.67.70.250:443#US 26.77MB/s
38.59.230.210:14338#NL 26.75MB/s
104.18.34.12:443#HK 26.38MB/s
154.203.0.233:443#SG 26.33MB/s
154.3.35.56:32929#HK 26.09MB/s
177.0.143.54:443#JP 25.03MB/s
216.38.170.104:443#HK 25.01MB/s
82.38.23.4:443#SG 24.99MB/s
172.67.70.83:443#US 24.64MB/s
175.29.23.138:443#HK 24.17MB/s
23.227.38.74:443#UK 23.98MB/s
64.118.159.219:443#FR 23.96MB/s
104.18.27.122:443#UK 23.63MB/s
23.227.39.200:443#UK 23.61MB/s
216.38.170.178:443#SG 23.60MB/s
104.18.0.22:443#US 23.28MB/s
172.64.153.244:443#HK 23.18MB/s
154.203.0.234:443#SG 23.13MB/s
154.17.1.21:47208#US 23.07MB/s
104.17.246.203:443#US 22.97MB/s
69.63.221.116:25517#US 22.84MB/s
216.38.170.176:443#SG 22.72MB/s
104.18.14.16:443#US 22.66MB/s
104.17.249.203:443#US 22.44MB/s
154.12.176.78:25301#DE 22.41MB/s
154.203.0.194:443#SG 22.37MB/s
104.21.37.203:443#US 22.28MB/s
104.26.8.123:443#US 22.23MB/s
64.186.244.133:22340#US 22.15MB/s
91.213.186.148:443#HK 22.15MB/s
179.253.224.69:11834#US 22.09MB/s
172.65.90.24:443#US 21.92MB/s
104.17.245.203:443#US 21.77MB/s
154.26.181.178:21720#US 21.69MB/s
23.227.38.33:443#UK 21.64MB/s
103.247.28.26:443#HK 21.53MB/s
104.17.136.61:443#US 21.42MB/s
172.67.70.218:443#US 21.37MB/s
104.16.184.241:443#US 21.36MB/s
104.17.248.203:443#US 21.33MB/s
154.21.85.197:39257#US 21.32MB/s
104.18.124.114:443#US 21.31MB/s
104.17.32.105:443#US 21.26MB/s
104.26.3.247:443#US 21.22MB/s
104.18.21.186:443#UK 21.22MB/s
104.16.130.3:443#US 21.20MB/s
172.65.90.25:443#US 21.15MB/s
23.249.18.144:8581#HK 21.05MB/s
172.64.151.221:443#US 21.01MB/s
104.18.36.35:443#US 20.98MB/s
172.66.135.29:443#US 20.96MB/s
104.16.143.237:443#US 20.94MB/s
104.16.142.237:443#US 20.90MB/s
162.159.130.87:443#UK 20.88MB/s
172.67.201.55:443#UK 20.84MB/s
154.17.11.210:45192#US 20.80MB/s
172.64.148.42:443#US 20.75MB/s
154.21.93.250:7999#US 20.66MB/s
104.17.79.30:443#US 20.58MB/s
172.66.135.198:443#US 20.49MB/s
91.213.186.108:443#HK 20.43MB/s
172.65.90.27:443#US 20.38MB/s
104.18.141.67:443#US 20.38MB/s
104.18.15.16:443#US 20.37MB/s
162.159.129.87:443#UK 20.37MB/s
172.67.212.229:443#UK 20.08MB/s
104.17.135.61:443#US 20.03MB/s
104.17.78.30:443#US 20.02MB/s
45.192.206.31:443#JP 反代 31.25MB/s
146.56.235.170:8443#HK 反代 24.00MB/s
45.77.134.188:443#JP 反代 62.38MB/s
155.117.82.92:443#HK 反代 46.75MB/s
209.33.174.190:443#JP 反代 62.63MB/s
172.237.5.208:2053#JP 反代 44.00MB/s
104.156.238.23:443#JP 反代 40.50MB/s
139.162.70.21:443#JP 反代 46.25MB/s
43.175.131.30:443#HK 39.64MB/s
209.33.167.234:443#HK 36.36MB/s
43.174.218.1:443#JP 32.28MB/s
43.169.18.179:443#JP 31.73MB/s
154.31.114.46:12632#JP 30.80MB/s
216.23.122.8:443#JP 27.81MB/s
47.75.104.254:443#US 20.94MB/s
23.249.27.136:23333#SG 17.12MB/s
216.23.123.64:30718#US 14.02MB/s
216.23.123.211:30718#US 13.78MB/s
